LANGUAGE,GLOTTOCODE,CONCEPT,COGNATE
Vedic_Sanskrit,sans1269,ANIMAL,animal_k
Walloon,wall1255,ANIMAL,animal_i
Waziri,waci1238,ANIMAL,animal_d
Welsh,wels1247,ANIMAL,animal_f
Zazaki,kirm1248,ANIMAL,animal_j
Adapazar,homs1234,ASH,ashes_c
Afrikaans,afri1274,ASH,ashes_a
Ancient_Greek,anci1242,ASH,ashes_0
Ancient_Greek,anci1242,ASH,ashes_l
Arumanian,arom1237,ASH,ashes_e
Arvanitika,arva1236,ASH,ashes_e
Assamese,assa1263,ASH,ashes_m
Avestan,aves1237,ASH,ashes_q
Baluchi,east2304,ASH,ashes_d
Belarusian,bela1254,ASH,ashes_g
Bengali,beng1280,ASH,ashes_m
Bihari,biha1245,ASH,ashes_m
Breton,bret1244,ASH,ashes_f
Bulgarian,bulg1262,ASH,ashes_g
Cagliari,sard1257,ASH,ashes_e
Catalan,stan1289,ASH,ashes_e
Classical_Armenian,clas1256,ASH,ashes_a
Classical_Armenian,clas1256,ASH,ashes_c
Cornish,corn1251,ASH,ashes_f
Czech,czec1258,ASH,ashes_g
Danish,dani1285,ASH,ashes_a
Digor_Ossetic,digo1242,ASH,ashes_p
Dutch,cent2352,ASH,ashes_a
Eastern_Armenian,nucl1235,ASH,ashes_c
English,stan1293,ASH,ashes_a
Faroese,faro1244,ASH,ashes_a
Flemish,cent2353,ASH,ashes_a
French,stan1290,ASH,ashes_e
Frisian,fris1239,ASH,ashes_a
Friulian,friu1240,ASH,ashes_e
German,stan1295,ASH,ashes_a
Gothic,goth1244,ASH,ashes_a
Gujarati,guja1252,ASH,ashes_i
Hindi,hind1269,ASH,ashes_i
Hittite,hitt1242,ASH,ashes_a
Icelandic,icel1247,ASH,ashes_a
Irish,iris1253,ASH,ashes_f
Italian,ital1282,ASH,ashes_e
Kashmiri,kash1277,ASH,ashes_k
Kurdish,kurd1259,ASH,ashes_r
Ladin,ladi1250,ASH,ashes_e
Lahnda,lahn1241,ASH,ashes_k
Latin,lati1261,ASH,ashes_e
Latvian,latv1249,ASH,ashes_g
Lithuanian,lith1251,ASH,ashes_g
Lower_Sorbian,lowe1385,ASH,ashes_g
Luxembourgish,luxe1243,ASH,ashes_a
Macedonian,mace1250,ASH,ashes_g
Marathi,mara1378,ASH,ashes_i
Marathi,mara1378,ASH,ashes_n
Marwari,marw1260,ASH,ashes_i
Marwari,marw1260,ASH,ashes_n
Modern_Greek,mode1248,ASH,ashes_h
Nepali,nepa1254,ASH,ashes_j
Norwegian,norw1258,ASH,ashes_a
Nuorese,nuor1238,ASH,ashes_e
Old_Church_Slavic,chur1257,ASH,ashes_g
Old_English,olde1238,ASH,ashes_a
Old_High_German,oldh1241,ASH,ashes_a
Old_Irish,oldi1246,ASH,ashes_f
Old_Prussian,prus1238,ASH,ashes_g
Old_West_Norse,oldw1240,ASH,ashes_a
Oriya,oriy1255,ASH,ashes_0
Oriya,oriy1255,ASH,ashes_n
Panjabi,panj1256,ASH,ashes_k
Pashto,pash1269,ASH,ashes_q
Persian,west2369,ASH,ashes_j
Polish,poli1260,ASH,ashes_g
Portuguese,port1283,ASH,ashes_e
Provencal,prov1235,ASH,ashes_e
Romani,roma1329,ASH,ashes_s
Romanian,megl1237,ASH,ashes_e
Romansh,roma1326,ASH,ashes_e
Russian,russ1263,ASH,ashes_0
Sariqoli,sari1246,ASH,ashes_q
Scots_Gaelic,scot1245,ASH,ashes_f
Serbian,sout1528,ASH,ashes_g
Shughni,shug1248,ASH,ashes_q
Singhalese,sinh1246,ASH,ashes_0
Slovak,slov1269,ASH,ashes_g
Slovenian,slov1268,ASH,ashes_g
Sogdian,sogd1245,ASH,ashes_q
Spanish,stan1288,ASH,ashes_e
Swedish,swed1254,ASH,ashes_a
Swedish,swed1254,ASH,ashes_h
Swiss_German,swis1247,ASH,ashes_a
Tajik,taji1245,ASH,ashes_j
Tocharian_A,tokh1242,ASH,ashes_o
Tocharian_B,tokh1243,ASH,ashes_o
Tosk,alba1268,ASH,ashes_e
Ukrainian,ukra1253,ASH,ashes_g
Upper_Sorbian,uppe1395,ASH,ashes_g
Urdu,urdu1245,ASH,ashes_i
Vedic_Sanskrit,sans1269,ASH,ashes_a
Vedic_Sanskrit,sans1269,ASH,ashes_n
Wakhi,wakh1245,ASH,ashes_d
Walloon,wall1255,ASH,ashes_e
Waziri,waci1238,ASH,ashes_q
Welsh,wels1247,ASH,ashes_f
Zazaki,kirm1248,ASH,ashes_r
Adapazar,homs1234,AT,at_d
Afrikaans,afri1274,AT,at_v
Ancient_Greek,anci1242,AT,at_0
Ancient_Greek,anci1242,AT,at_ah
Ancient_Greek,anci1242,AT,at_i
Ancient_Greek,anci1242,AT,at_j
Arumanian,arom1237,AT,at_r
Arvanitika,arva1236,AT,at_c
Assamese,assa1263,AT,at_h
Baluchi,east2304,AT,at_a
Baluchi,east2304,AT,at_aa
Belarusian,bela1254,AT,at_0
Belarusian,bela1254,AT,at_n
Breton,bret1244,AT,at_j
Bulgarian,bulg1262,AT,at_q
Cagliari,sard1257,AT,at_r
Catalan,stan1289,AT,at_0
Catalan,stan1289,AT,at_r
Classical_Armenian,clas1256,AT,at_0
Classical_Armenian,clas1256,AT,at_ah
Cornish,corn1251,AT,at_w
Czech,czec1258,AT,at_0
Czech,czec1258,AT,at_n
Czech,czec1258,AT,at_o
Czech,czec1258,AT,at_p
Czech,czec1258,AT,at_q
Danish,dani1285,AT,at_u
Digor_Ossetic,digo1242,AT,at_a
Dutch,cent2352,AT,at_v
Eastern_Armenian,nucl1235,AT,at_0
English,stan1293,AT,at_r
Faroese,faro1244,AT,at_0
Faroese,faro1244,AT,at_r
Faroese,faro1244,AT,at_u
Flemish,cent2353,AT,at_t
Flemish,cent2353,AT,at_v
French,stan1290,AT,at_r
Frisian,fris1239,AT,at_i
Friulian,friu1240,AT,at_r
German,stan1295,AT,at_t
