DOCULECT,GLOTTOCODE,CONCEPT,CONCEPTICON_GLOSS,CONCEPTICON_ID,COGNATE
Old_High_German,oldh1241,and,AND,1577,and_b
Old_Irish,oldi1246,and,AND,1577,and_g
Old_Prussian,prus1238,and,AND,1577,and_0
Old_West_Norse,oldw1240,and,AND,1577,and_i
Oriya,oriy1255,and,AND,1577,and_a
Panjabi,panj1256,and,AND,1577,and_l
Pashto,pash1269,and,AND,1577,and_e
Persian,west2369,and,AND,1577,and_e
Polish,poli1260,and,AND,1577,and_h
Portuguese,port1283,and,AND,1577,and_f
Provencal,prov1235,and,AND,1577,and_f
Romani,roma1329,and,AND,1577,and_l
Romanian,megl1237,and,AND,1577,and_0
Romanian,megl1237,and,AND,1577,and_m
Romansh,roma1326,and,AND,1577,and_f
Russian,russ1263,and,AND,1577,and_h
Sariqoli,sari1246,and,AND,1577,and_0
Scots_Gaelic,scot1245,and,AND,1577,and_g
Serbian,sout1528,and,AND,1577,and_h
Shughni,shug1248,and,AND,1577,and_0
Sindhi,sind1272,and,AND,1577,and_0
Sindhi,sind1272,and,AND,1577,and_a
Singhalese,sinh1246,and,AND,1577,and_0
Slovak,slov1269,and,AND,1577,and_h
Slovenian,slov1268,and,AND,1577,and_0
Sogdian,sogd1245,and,AND,1577,and_o
Spanish,stan1288,and,AND,1577,and_f
Swedish,swed1254,and,AND,1577,and_i
Swiss_German,swis1247,and,AND,1577,and_b
Tajik,taji1245,and,AND,1577,and_e
Tocharian_A,tokh1242,and,AND,1577,and_o
Tocharian_B,tokh1243,and,AND,1577,and_0
Tosk,alba1268,and,AND,1577,and_c
Ukrainian,ukra1253,and,AND,1577,and_0
Ukrainian,ukra1253,and,AND,1577,and_h
Upper_Sorbian,uppe1395,and,AND,1577,and_h
Urdu,urdu1245,and,AND,1577,and_a
Vedic_Sanskrit,sans1269,and,AND,1577,and_o
Wakhi,wakh1245,and,AND,1577,and_0
Walloon,wall1255,and,AND,1577,and_f
Waziri,waci1238,and,AND,1577,and_e
